185,4/1/1984,Murali,, Vijay,3000000,India,Right-hand bat,Right-arm offbreak,Bat
305,10/14/1988,Glenn,J, Maxwell,10000000,Australia,Right-hand bat,Right-arm offbreak,All Rounder
320,6/10/1989,David,A,Miller,2000000,South Africa,Left-hand bat,Right-arm offbreak,Bat
345,7/18/1993,Manan,, Vohra,1000000,India,Right-hand bat,Right-arm medium,Bat
357,11/2/1981,Mitchell,G, Johnson,4000000,Australia,Left-hand bat,Left-arm fast,Bowl
364,9/18/1988,Mohit,M, Sharma,5000000,India,Right-hand bat,Right-arm medium,Bowl
367,5/18/1993,Sandeep,, Sharma,2000000,India,Right-hand bat,Right-arm medium,Bowl
374,1/20/1994,Axar,R, Patel,1000000,India,Left-hand bat,Slow left-arm orthodox,All Rounder
409,8/16/1989,Marcus,P, Stoinis,9000000,Australia,Right-hand bat,Right-arm medium,All Rounder
412,8/21/1985,P,, Sahu,3000000,India,Right-hand bat,Legbreak googly,Bat
8,11/5/1988,Virat,,Kohli,6000000,India,Right-hand bat,Right-arm medium,Bat
32,6/17/1981,Shane,R, Watson,2000000,Australia,Right-hand bat,Right-arm fast-medium,All Rounder
110,2/17/1984,AB ,de, Villiers,8000000,South Africa,Right-hand bat,Right-arm medium,Bat
162,9/21/1979,Chris,H, Gayle,4000000,West Indies,Left-hand bat,Right-arm offbreak,Bat
237,3/26/1985,Kedar,M,Jadhav,2000000,India,Right-hand bat,Right-arm offbreak,Bat
255,6/3/1984,Stuart,R, Binny,6000000,India,Right-hand bat,Right-arm medium,All Rounder
311,11/23/1990,H,V, Patel,1000000,India,Right-hand bat,Right-arm medium,All Rounder
366,2/13/1989,Parvez,, Rasool,8000000,India,Right-hand bat,Right-arm offbreak,Bowl
382,7/23/1990,Yuzvendra,S, Chahal,6000000,India,Right-hand bat,Legbreak googly,Bowl
402,10/27/1997,Sarfaraz,N, Khan,7000000,India,Right-hand bat,Legbreak,Bat
461,4/13/1992,A,F, Milne,2000000,New Zealand,Right-hand bat,Right-arm fast,Bowl
42,12/5/1985,Shikhar,, Dhawan,1000000,India,Left-hand bat,Right-arm offbreak,Bat
73,4/29/1979,Ashish,,Nehra,8000000,India,Right-hand bat,Left-arm medium-fast,Bowl
163,2/1/1987,M,C, Henriques,4000000,Australia,Right-hand bat,Right-arm fast-medium,Bowl
166,10/23/1987,Karn,V,Sharma,2000000,India,Left-hand bat,Legbreak googly,Bowl
183,7/20/1983,Naman,V, Ojha,8000000,India,Right-hand bat,N/A,Wk
187,10/27/1986,David,A,Warner,1000000,Australia,Left-hand bat,Legbreak,Bat
216,9/10/1986,Eoin,J, Morgan,7000000,England,Left-hand bat,Right-arm medium,Bat
299,2/5/1990,Bhuvaneshvar,, Kumar,6000000,India,Right-hand bat,Right-arm medium,Bowl
325,2/24/1991,A ,Ashish, Reddy,9000000,India,Right-hand bat,Right-arm medium,Bowl
394,4/19/1995,Deepak,J, Hooda,1000000,India,Right-hand bat,Right-arm offbreak,All Rounder
460,9/6/1995,Mustafizur,, Rahman,7000000,Bangladesh,Left-hand bat,Left-arm fast-medium,All Rounder
17,3/9/1985,Parthiv,A,Patel,7000000,India,Left-hand bat,N/A,Wk
377,12/11/1988,Tim,G, Southee,1000000,New Zealand,Right-hand bat,Right-arm medium-fast,Bowl
398,1/16/1994,J,,Suchith,7000000,India,Left-hand bat,Slow left-arm orthodox,Bowl
462,12/14/1994,Kuldeep,, Yadav,8000000,India,Left-hand bat,Slow left-arm chinaman,Bowl
186,11/27/1980,Shakal,B, Jakati,1000000,India,Left-hand bat,Slow left-arm orthodox,Bowl
370,10/8/1971,Pravin,V,Tambe,2000000,India,Right-hand bat,Legbreak,Bowl
414,5/10/1993,AD,D, Nath,7000000,India,Right-hand bat,Right-arm medium-fast,Bowl
154,4/14/1984,Jean ,Paul, Duminy,9000000,South Africa,Left-hand bat,Right-arm offbreak,All Rounder
425,1/22/1990,J,, Yadav,8000000,India,Right-hand bat,Right-arm offbreak,Bowl
100,7/9/1983,Shaun,E, Marsh,1000000,Australia,Left-hand bat,Slow left-arm orthodox,Bat
429,12/10/1992,BB,,Sran,7000000,India,Left-hand bat,Left-arm medium,Bat
190,10/6/1984,Morne,, Morkel,2000000,South Africa,Left-hand bat,Right-arm fast,Bowl
276,3/24/1987,Shakib,AL, Hasan,7000000,Bangladesh,Left-hand bat,Slow left-arm orthodox,All Rounder
315,5/26/1988,Sunil,P,Narine,6000000,West Indies,Left-hand bat,Right-arm offbreak,All Rounder
80,12/10/1988,Dhaval,S,Kulkarni,8000000,India,Right-hand bat,Right-arm medium,Bowl
413,3/24/1991,Krunal,H,Pandya,2000000,India,Left-hand bat,Slow left-arm orthodox,All Rounder
29,10/27/1984,Irfan,K,Pathan,1000000,India,Left-hand bat,Left-arm medium-fast,All Rounder
280,4/3/1989,NLTC,, Perera,9000000,Sri Lanka,Left-hand bat,Right-arm medium-fast,All Rounder
314,4/20/1991,Ankit,,Sharma,6000000,India,Left-hand bat,Slow left-arm orthodox,Bowl
416,6/18/1987,K,J, Abbott,7000000,South Africa,Right-hand bat,Right-arm fast-medium,All Rounder
270,4/8/1984,S,,Aravind,6000000,India,Left-hand bat,Left-arm medium-fast,Bowl
401,5/18/1985,S,, Wiese,2000000,South Africa,Right-hand bat,Right-arm medium-fast,Bowl
347,9/3/1990,Mohammed,, Shami,9000000,India,Right-hand bat,Right-arm fast-medium,Bowl
228,9/28/1983,Bipul,, Sharma,6000000,India,Left-hand bat,Slow left-arm orthodox,Bowl
415,9/30/1986,Martin,J,Guptill,9000000,New Zealand,Right-hand bat,Right-arm offbreak,Wk
140,12/2/1989,Iqbal,, Abdulla,2000000,India,Left-hand bat,Slow left-arm orthodox,Bowl
296,10/29/1989,Varun,R, Aaron,7000000,India,Right-hand bat,Right-arm fast,Bowl
354,4/18/1992,KL,, Rahul,1000000,India,Right-hand bat,N/A,Wk
363,2/12/1991,K,W,Richardson,7000000,Australia,Right-hand bat,Right-arm fast-medium,All Rounder
417,12/29/1993,Travis,M, Head,9000000,Australia,Left-hand bat,Right-arm offbreak,Bat
94,6/27/1983,Dale,W,Steyn,2000000,South Africa,Right-hand bat,Right-arm fast,Bowl
207,11/7/1987,Aditya,P, Tare,3000000,India,Right-hand bat,N/A,Bat
236,12/18/1991,Mandeep,, Singh,6000000,India,Right-hand bat,Right-arm medium,Bat
463,2/18/1990,T,, Shamsi,9000000,South Africa,Right-hand bat,Slow left-arm chinaman,Bat
386,3/27/1979,Imran,,Tahir,4000000,India,Right-hand bat,Legbreak googly,Bowl
356,2/19/1990,Rishi,, Dhawan,2000000,India,Right-hand bat,Right-arm medium-fast,Bat
419,11/9/1994,NS,S,Naik,9000000,India,Right-hand bat,N/A,Bat
147,4/12/1983,Darren,R,Smith,1000000,West Indies,Right-hand bat,Right-arm medium,Bat
79,12/30/1989,Saurabh,S, Tiwary,9000000,India,Left-hand bat,N/A,Bat
109,6/10/1981,JA,A, Morkel,6000000,South Africa,Left-hand bat,Right-arm medium-fast,All Rounder
209,1/14/1981,R,,Sathish,2000000,India,Right-hand bat,Right-arm medium,Bowl
106,3/25/1984,Ashok,B, Dinda,9000000,India,Right-hand bat,Right-arm medium-fast,Bowl
293,8/12/1989,Shabaz,,Nadeem,6000000,India,Right-hand bat,Slow left-arm orthodox,Bowl
420,10/4/1997,Rishabh,R, Pant,4000000,India,Left-hand bat,N/A,Wk
336,4/10/1990,Chris,A, Lynn,6000000,Australia,Right-hand bat,Slow left-arm orthodox,Bat
346,10/18/1991,Jaydev,D, Unadkat,2000000,India,Right-hand bat,Left-arm medium,Bowl
432,9/7/1995,S,, Kaushik,9000000,India,Right-hand bat,Slow left-arm chinaman,Bowl
423,4/26/1991,Peter,S, Handscomb,3000000,Australia,Right-hand bat,N/A,Bat
421,6/15/1991,Sam,W,Billings,1000000,England,Right-hand bat,N/A,Bat
391,11/5/1991,Jason,O, Holder,6000000,West Indies,Right-hand bat,Right-arm medium-fast,Bowl
369,12/18/1988,Sachin,, Baby,2000000,India,Left-hand bat,Right-arm offbreak,Bat
396,8/8/1990,Kane,S,Williamson,6000000,New Zealand,Right-hand bat,Right-arm offbreak,Bat
329,6/29/1990,Gurkeerat,, Singh,9000000,India,Right-hand bat,Right-arm offbreak,Bat
422,4/13/1994,KC,C,Cariappa,6000000,India,Right-hand bat,Legbreak,Bowl
464,4/11/1989,SM,,Boland,2000000,Australia,Right-hand bat,Right-arm fast-medium,Bat
424,1/22/1991,Swapnil,,Singh,1000000,India,Right-hand bat,Slow left-arm orthodox,Bat
197,9/7/1982,George,J, Bailey,9000000,Australia,Right-hand bat,Right-arm medium,Bat
426,12/18/1986,Usmaan,T, Khawaja,4000000,Australia,Left-hand bat,Right-arm medium,Wk
27,12/12/1981,Yuvraj,, Singh,2000000,India,Left-hand bat,Slow left-arm orthodox,All Rounder
434,10/4/1988,Cris,J, Jordan,9000000,England,Right-hand bat,Right-arm fast-medium,All Rounder
430,3/31/1992,Adam,, Zampa,1000000,Australia,Right-hand bat,Legbreak googly,Bowl
427,3/31/1983,Hashim,M, Amla,9000000,South Africa,Right-hand bat,Right-arm offbreak,Bat
395,3/2/1988,Anureet,,Singh,6000000,India,Right-hand bat,Right-arm medium,Bat
428,10/9/1983,F,, Behardien,2000000,South Africa,Right-hand bat,Right-arm fast-medium,Bowl
431,12/27/1993,Nitish,, Rana,9000000,India,Left-hand bat,Right-arm offbreak,Bat
262,3/26/1993,Unmukt,BT,Chand,4000000,India,Right-hand bat,Right-arm offbreak,Bat
344,12/4/1993,Ankit,S, Rajpoot,3000000,India,Right-hand bat,Right-arm medium,Bowl
385,1/30/1987,Ben,CJ,Cutting,2000000,Australia,Right-hand bat,Right-arm fast-medium,Bowl
465,8/7/1992,Deepak,L, Chahar,6000000,India,Right-hand bat,Right-arm medium,All Rounder
433,7/22/1988,ER,,Dwivedi,2000000,India,Right-hand bat,N/A,Bat
458,7/22/1989,Trent,A,Boult,1000000,New Zealand,Right-hand bat,Left-arm fast-medium,Bowl
